is_goal,distance_to_goal,angle_to_goal,shot_body_part,play_pattern,under_pressure,shot_statsbomb_xg
1,4.404543109109054,84.48286402101188,Right Foot,Regular Play,0,0.48524466
1,17.748521065147937,18.491840594559807,Right Foot,Regular Play,0,0.21504128
1,14.345033983926282,19.283859931874503,Right Foot,Regular Play,0,0.15539157
1,6.503076195155644,63.17989216004912,Head,From Throw In,0,0.15547352
0,16.123585209251686,23.24647416693194,Head,From Free Kick,1,0.02431712
0,26.500188678573593,15.939661713586274,Right Foot,Regular Play,0,0.026070174
0,32.08815981012311,7.508358792086807,Right Foot,From Throw In,0,0.0063759447
0,18.31420213932346,18.035266231043845,Left Foot,Regular Play,0,0.034865376
0,17.74063133036702,24.223199426379075,Left Foot,From Throw In,0,0.12169348
0,22.870505022845474,19.544230122252078,Left Foot,Regular Play,1,0.059537582
0,10.111874208078344,33.73603284264343,Head,From Throw In,1,0.04866169
0,22.121934815924217,20.139219605962754,Left Foot,From Throw In,1,0.03382374
0,22.318154045529838,16.017574579914502,Right Foot,From Free Kick,0,0.034923773
0,10.787029248129436,40.19641095709305,Head,From Corner,1,0.045367446
0,20.86552180032888,20.01951772621675,Right Foot,From Free Kick,0,0.025139945
0,25.991537084212624,13.635746300187783,Left Foot,From Free Kick,0,0.03131155
0,37.974860105074775,11.201027456230467,Right Foot,From Throw In,0,0.0068181115
0,23.940133667128926,18.12804154160076,Left Foot,Regular Play,0,0.030127633
0,8.902246907382434,48.383947166923804,Head,From Corner,1,0.06871433
0,29.223620583356876,12.435822671261832,Right Foot,From Throw In,0,0.011074076
0,11.545128842936313,18.12811756647384,Right Foot,Regular Play,0,0.058196757
0,25.728000310945276,17.00968372178003,Left Foot,From Goal Kick,0,0.038496487
0,20.64000968992021,13.601074834736709,Right Foot,From Free Kick,0,0.04221427
0,16.704789732289363,26.925479172379262,Right Foot,Regular Play,1,0.06520781
0,17.758941409892653,22.759691264312742,Left Foot,Regular Play,0,0.07416881
0,8.720665112249183,49.21279049874661,Head,Regular Play,1,0.06430619
1,7.764663547121668,54.28411021487537,Head,Regular Play,0,0.28603274
0,31.123624467596958,12.40801512419659,Left Foot,From Throw In,0,0.008650101
0,31.579265349276255,13.302340798432876,Left Foot,Regular Play,0,0.014392905
0,8.386298349093002,46.67340233441044,Head,From Throw In,0,0.16068545
0,21.341274563624356,18.893305280922423,Left Foot,Regular Play,0,0.102816984
1,11.717081547894084,34.70473242405318,Left Foot,Regular Play,0,0.34814927
0,6.171709649683792,55.382196329870204,Head,From Throw In,0,0.25332773
0,32.547964606100955,13.951321254785192,Right Foot,From Free Kick,0,0.013776194
0,33.501790996900446,11.882707191954587,Right Foot,From Throw In,0,0.0066337776
